fund,assetClass,type,security,isin,issuerCanonical,issuerAsPrinted,fundName,section
AC4,bond,government,TRT160627T13,TRT160627T13,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC4,bond,government,TRT010328T12,TRT010328T12,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC4,bond,government,TRT170528T12,TRT170528T12,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC4,bond,government,TRT061228T16,TRT061228T16,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC4,bond,government,TRT040729T14,TRT040729T14,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC4,bond,corporate,TRFA1CPK2619,TRFA1CPK2619,A1CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,A1CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,,BORÇLANMA SENETLERİ
AC4,bond,bill,TRFBLLYA2646,TRFBLLYA2646,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,BULLS YATIRIM MENKUL DEĞERLER A.Ş.,,BORÇLANMA SENETLERİ
AC4,bond,bill,TRB100227T13,TRB100227T13,Hazine ve Maliye Bakanlığı,HAZİNE,,BORÇLANMA SENETLERİ
AC5,stock,,AKBNK,TRAAKBNK91N6,AKBANK T.A.Ş.,AKBANK T.A.Ş.,,HİSSE SENETLERİ
AC5,stock,,EREGL,TRAEREGL91G3,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,,HİSSE SENETLERİ
AC5,stock,,ISCTR,TRAISCTR91N2,TÜRKİYE İŞ BANKASI A.Ş. B,TÜRKİYE İŞ BANKASI A.Ş. B,,HİSSE SENETLERİ
AC5,stock,,SAHOL,TRASAHOL91Q5,HACIÖMER SABANCI HOLDİNG A.Ş.,HACIÖMER SABANCI HOLDİNG A.Ş.,,HİSSE SENETLERİ
AC5,stock,,TOASO,TRATOASO91H3,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,,HİSSE SENETLERİ
AJ1,stock,,AKBNK,TRAAKBNK91N6,AKBANK T.A.Ş.,AKBANK T.A.Ş.,,HİSSE SENETLERİ
AJ1,stock,,AKSEN,TREAKSN00011,AKSA ENERJİ ÜRETİM A.Ş.,AKSA ENERJİ ÜRETİM A.Ş.,,HİSSE SENETLERİ
AJ1,stock,,ASELS,TRAASELS91H2,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,,HİSSE SENETLERİ
AJ1,stock,,SAHOL,TRASAHOL91Q5,HACIÖMER SABANCI HOLDİNG A.Ş.,HACIÖMER SABANCI HOLDİNG A.Ş.,,HİSSE SENETLERİ
