fundCode,fundName,reportType,reportDate,pdrPeriod,file,sourceUrl
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,,,,BPZ_BPZ_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1659086
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),,,,BMU_BMU Haftalık Fon Portföy Dağılım Raporu.pdf,https://www.kap.org.tr/tr/Bildirim/1662950
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON) ________________________________________________________________________________________________________________________________________________________________________,Portföy Dağılım Raporu,15.09.2026 16:04:41,2026/36,BOS_BOS Haftalık Fon Portföy Dağılım Raporu.pdf,https://www.kap.org.tr/tr/Bildirim/1662948
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Portföy Dağılım Raporu,09.09.2026 18:00:07,2026/35,TLY_TLY_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1661170
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Portföy Dağılım Raporu,09.09.2026 18:00:07,2026/35,DOH_DOH.pdf,https://www.kap.org.tr/tr/Bildirim/1661174
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Portföy Dağılım Raporu,02.09.2026 11:02:16,2026/8,TLV_TLV_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1657115
TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,Portföy Dağılım Raporu,02.09.2026 11:02:16,2026/8,TP2_TP2_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1657110
PKD,PUSULA PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Portföy Dağılım Raporu,16.09.2026 22:21:56,2026/36,PKD_PKD Fon Aylık Raporu.pdf,https://www.kap.org.tr/tr/Bildirim/1664369
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Portföy Dağılım Raporu,08.09.2026 17:11:30,2026/8,PKM_PKM_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1660305
PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Portföy Dağılım Raporu,08.09.2026 17:11:30,2026/8,PNU_PNU_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1660306
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Portföy Dağılım Raporu,08.09.2026 17:11:30,2026/8,PRY_PRY_2026.08.pdf,https://www.kap.org.tr/tr/Bildirim/1660307
